FIPS,PeerCountyGroup,County,State
1001,14,Autauga County,Alabama
1003,25,Baldwin County,Alabama
1005,53,Barbour County,Alabama
1007,3,Bibb County,Alabama
1009,3,Blount County,Alabama
1011,54,Bullock County,Alabama
1013,55,Butler County,Alabama
1015,26,Calhoun County,Alabama
1017,35,Chambers County,Alabama
1019,56,Cherokee County,Alabama
1021,3,Chilton County,Alabama
1023,57,Choctaw County,Alabama
1025,55,Clarke County,Alabama
1027,58,Clay County,Alabama
1029,58,Cleburne County,Alabama
1031,36,Coffee County,Alabama
1033,27,Colbert County,Alabama
1035,55,Conecuh County,Alabama
1037,37,Coosa County,Alabama
1039,59,Covington County,Alabama
1041,60,Crenshaw County,Alabama
1043,38,Cullman County,Alabama
1045,39,Dale County,Alabama
1047,40,Dallas County,Alabama
1049,59,DeKalb County,Alabama
1051,14,Elmore County,Alabama
1053,61,Escambia County,Alabama
1055,26,Etowah County,Alabama
1057,58,Fayette County,Alabama
1059,60,Franklin County,Alabama
1061,26,Geneva County,Alabama
1063,54,Greene County,Alabama
1065,26,Hale County,Alabama
1067,26,Henry County,Alabama
1069,28,Houston County,Alabama
1071,41,Jackson County,Alabama
1073,1,Jefferson County,Alabama
1075,62,Lamar County,Alabama
1077,29,Lauderdale County,Alabama
1079,26,Lawrence County,Alabama
1081,30,Lee County,Alabama
1083,14,Limestone County,Alabama
1085,15,Lowndes County,Alabama
1087,53,Macon County,Alabama
1089,16,Madison County,Alabama
1091,55,Marengo County,Alabama
1093,56,Marion County,Alabama
1095,42,Marshall County,Alabama
1097,17,Mobile County,Alabama
1099,55,Monroe County,Alabama
1101,17,Montgomery County,Alabama
1103,28,Morgan County,Alabama
1105,54,Perry County,Alabama
1107,26,Pickens County,Alabama
1109,39,Pike County,Alabama
1111,62,Randolph County,Alabama
1113,17,Russell County,Alabama
1115,3,St. Clair County,Alabama
1117,4,Shelby County,Alabama
1119,54,Sumter County,Alabama
1121,42,Talladega County,Alabama
1123,59,Tallapoosa County,Alabama
1125,28,Tuscaloosa County,Alabama
1127,5,Walker County,Alabama
1129,63,Washington County,Alabama
1131,54,Wilcox County,Alabama
1133,56,Winston County,Alabama
2013,64,Aleutians East Borough,Alaska
2016,65,Aleutians West Census Area,Alaska
2020,18,Anchorage Municipality,Alaska
2050,66,Bethel Census Area,Alaska
2060,67,Bristol Bay Borough,Alaska
2068,67,Denali Borough,Alaska
2070,66,Dillingham Census Area,Alaska
2090,31,Fairbanks North Star Borough,Alaska
2100,65,Haines Borough,Alaska
2105,65,Hoonah-Angoon Census Area,Alaska
2110,36,Juneau City and Borough,Alaska
2122,68,Kenai Peninsula Borough,Alaska
2130,36,Ketchikan Gateway Borough,Alaska
2150,65,Kodiak Island Borough,Alaska
2158,66,Kusilvak Census Area,Alaska
2164,66,Lake and Peninsula Borough,Alaska
2170,19,Matanuska-Susitna Borough,Alaska
2180,66,Nome Census Area,Alaska
2185,67,North Slope Borough,Alaska
2188,66,Northwest Arctic Borough,Alaska
2195,65,Petersburg Borough,Alaska
2198,67,Prince of Wales-Hyder Census Area,Alaska
2220,65,Sitka City and Borough,Alaska
2230,65,Skagway Municipality,Alaska
2240,67,Southeast Fairbanks Census Area,Alaska
2261,67,Valdez-Cordova Census Area,Alaska
2275,65,Wrangell City and Borough,Alaska
2282,67,Yakutat City and Borough,Alaska
2290,66,Yukon-Koyukuk Census Area,Alaska
4001,66,Apache County,Arizona
4003,25,Cochise County,Arizona
4005,30,Coconino County,Arizona
4007,43,Gila County,Arizona
4009,44,Graham County,Arizona
4011,67,Greenlee County,Arizona
4012,69,La Paz County,Arizona
4013,2,Maricopa County,Arizona
4015,25,Mohave County,Arizona
4017,40,Navajo County,Arizona
4019,18,Pima County,Arizona
4021,6,Pinal County,Arizona
4023,45,Santa Cruz County,Arizona
4025,25,Yavapai County,Arizona
4027,32,Yuma County,Arizona
5001,70,Arkansas County,Arkansas
5003,61,Ashley County,Arkansas
5005,46,Baxter County,Arkansas
5007,19,Benton County,Arkansas
5009,47,Boone County,Arkansas
5011,55,Bradley County,Arkansas
5013,48,Calhoun County,Arkansas
5015,56,Carroll County,Arkansas
5017,54,Chicot County,Arkansas
5019,39,Clark County,Arkansas
5021,62,Clay County,Arkansas
5023,69,Cleburne County,Arkansas
5025,26,Cleveland County,Arkansas
5027,35,Columbia County,Arkansas
5029,61,Conway County,Arkansas
5031,33,Craighead County,Arkansas
5033,14,Crawford County,Arkansas
5035,5,Crittenden County,Arkansas
5037,62,Cross County,Arkansas
5039,71,Dallas County,Arkansas
5041,54,Desha County,Arkansas
5043,53,Drew County,Arkansas
5045,19,Faulkner County,Arkansas
5047,58,Franklin County,Arkansas
5049,69,Fulton County,Arkansas
5051,28,Garland County,Arkansas
5053,14,Grant County,Arkansas
5055,47,Greene County,Arkansas
5057,53,Hempstead County,Arkansas
5059,41,Hot Spring County,Arkansas
5061,60,Howard County,Arkansas
5063,35,Independence County,Arkansas
5065,69,Izard County,Arkansas
5067,62,Jackson County,Arkansas
5069,32,Jefferson County,Arkansas
5071,60,Johnson County,Arkansas
5073,62,Lafayette County,Arkansas
5075,58,Lawrence County,Arkansas
5077,54,Lee County,Arkansas
5079,27,Lincoln County,Arkansas
5081,27,Little River County,Arkansas
5083,56,Logan County,Arkansas
5085,19,Lonoke County,Arkansas
5087,20,Madison County,Arkansas
5089,69,Marion County,Arkansas
5091,33,Miller County,Arkansas
5093,40,Mississippi County,Arkansas
5095,54,Monroe County,Arkansas
5097,69,Montgomery County,Arkansas
5099,62,Nevada County,Arkansas
5101,46,Newton County,Arkansas
5103,35,Ouachita County,Arkansas
5105,20,Perry County,Arkansas
5107,40,Phillips County,Arkansas
5109,58,Pike County,Arkansas
5111,26,Poinsett County,Arkansas
5113,56,Polk County,Arkansas
5115,47,Pope County,Arkansas
5117,58,Prairie County,Arkansas
5119,16,Pulaski County,Arkansas
5121,70,Randolph County,Arkansas
5123,44,St. Francis County,Arkansas
5125,21,Saline County,Arkansas
5127,58,Scott County,Arkansas
5129,72,Searcy County,Arkansas
5131,17,Sebastian County,Arkansas
5133,73,Sevier County,Arkansas
5135,57,Sharp County,Arkansas
5137,69,Stone County,Arkansas
5139,35,Union County,Arkansas
5141,57,Van Buren County,Arkansas
5143,17,Washington County,Arkansas
5145,47,White County,Arkansas
5147,54,Woodruff County,Arkansas
5149,45,Yell County,Arkansas
6001,2,Alameda County,California
6003,65,Alpine County,California
6005,74,Amador County,California
6007,25,Butte County,California
6009,74,Calaveras County,California
6011,73,Colusa County,California
6013,7,Contra Costa County,California
6015,44,Del Norte County,California
